成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
曲終人散, 16, 18634891, 1627, 670, 0, 560492365, 2307207, 151233, 80149, 31986, 官渡, 官渡右
海賊丨銀蕩, 17, 151940, 2991, 0, 0, 327609638, 2252095, 177822, 124174, 32064, 官渡, 官渡左
高原, 36, 1600808, 28668, 400, 0, 387021234, 2223574, 121031, 204995, 31430, 官渡, 官渡右
DeNnIsTaNg, 33, 10544243, 51234, 0, 0, 328528214, 2155271, 66841, 5845893, 26100, 官渡, 官渡左
海賊丨襄克溼, 38, 14222670, 19059, 2446, 0, 430966910, 2154845, 80663, 32058, 32532, 官渡, 官渡左
酒丨小孩法師, 39, 1671423, 33198, 144, 0, 353206491, 2137069, 176362, 126905, 25315, 官渡, 官渡左
皇丨刀俠, 31, 7048768, 42298, 3383, 0, 463314981, 2134534, 97319, 131399, 30639, 河內, 河內
海賊丨浪客, 25, 1327527, 10714, 0, 0, 287374379, 2131457, 59282, 134807, 25500, 官渡, 官渡左
仇小理, 24, 1531971, 30326, 101, 0, 203551544, 2128319, 91498, 11874638, 24825, 官渡, 官渡左
落地塵封, 20, 6724120, 17527, 0, 0, 416986645, 2089947, 157084, 81191, 39293, 河內, 河內
神奇夠夠螺, 37, 1474318, 29166, 50, 0, 217781246, 2077646, 75621, 0, 26283, 官渡, 官渡左
BenZ, 30, 828647, 16388, 0, 0, 333544953, 2076253, 45570, 21012, 34480, 河內, 河內
箱丨玄燚, 22, 674417, 13372, 0, 0, 284914540, 2062514, 155735, 106529416, 23748, 河內, 河內
鬼姬丨蜜兒, 28, 1670499, 33305, 0, 0, 263397673, 2032857, 42971, 2855892, 29563, 官渡, 門神
海賊丨懶中天, 42, 6995015, 60036, 1450, 0, 324353460, 2019071, 73723, 151407, 29670, 官渡, 門神
夢落紅塵, 27, 1742191, 34856, 50, 0, 521392048, 2018238, 55219, 0, 34820, 官渡, 官渡左
海賊丨多多綠, 43, 4599986, 91716, 2300, 0, 217990806, 1983366, 94671, 0, 26119, 官渡, 官渡左
齊伊, 41, 4968415, 40296, 0, 0, 280825780, 1983122, 113435, 40168, 29523, 官渡, 官渡左
瀟灑小帥哥, 34, 10544884, 36779, 0, 0, 605539378, 1961644, 77746, 193645, 36753, 官渡, 官渡右
莫白, 35, 6372514, 33920, 8391, 0, 359558137, 1935673, 150986, 22343, 40066, 河內, 河內
九霄丨醉淚人, 50, 5336456, 21774, 3539, 0, 459202275, 1935632, 212963, 40370, 37053, 官渡, 門神
真丨多力多滋, 29, 12426802, 26553, 0, 0, 567778415, 1922035, 257709, 42848, 36010, 官渡, 門神
核廢料, 44, 7389089, 92484, 2236, 0, 239434189, 1876883, 126186, 9335206, 25515, 官渡, 官渡右
哈囉丨雪花冰, 26, 25198399, 43717, 0, 0, 643228852, 1868907, 118079, 40494, 32180, 河北, 官渡右
阮晏, 32, 7288197, 9795, 0, 1064550, 444933244, 1820699, 103202, 37020480, 36010, 官渡, 官渡右
杜甫, 23, 2044682, 40909, 0, 0, 397524828, 1795346, 80056, 6530451, 34753, 官渡, 官渡右
雲鈴, 46, 1608662, 26854, 0, 0, 214311522, 1754244, 44337, 56615, 26629, 河內, 河內
西醫, 47, 5099805, 43109, 0, 0, 371153681, 1680319, 118161, 119730, 34400, 官渡, 官渡左
R傑, 45, 1029791, 20488, 0, 0, 317590479, 1664067, 87467, 186540, 29546, 官渡, 官渡左
海賊丨單身人, 48, 3968515, 79322, 1085, 0, 334361108, 1655757, 74269, 6848311, 28660, 官渡, 官渡左
蝦忙駱駝, 67, 1895098, 30831, 550, 0, 280010915, 1647051, 107949, 9287169, 28675, 官渡, 官渡左
獵犬, 49, 2530336, 50382, 0, 0, 289833919, 1643434, 50024, 46235, 31726, 官渡, 官渡左
西瓜, 51, 2520056, 42010, 0, 0, 365855835, 1604155, 109519, 108018, 34653, 官渡, 官渡左
酒丨天玄德, 52, 2720121, 54061, 0, 0, 269446382, 1593024, 175923, 0, 29832, 河內, 河內
波家軍丨藏心, 54, 996757, 19082, 350, 0, 256889629, 1588826, 65341, 91023145, 34830, 官渡, 官渡右
熾羽翊, 55, 1095381, 21913, 0, 0, 318877999, 1588102, 86580, 127643, 23539, 官渡, 官渡右
婁賴把, 59, 1655067, 32993, 0, 0, 202603770, 1490291, 90298, 42518, 24780, 官渡, 官渡右
五岁野人, 60, 1489574, 29802, 0, 0, 194804514, 1484856, 37275, 139950, 22853, 官渡, 官渡右
海賊丨奇蹟, 53, 1340373, 23085, 1596, 0, 304323137, 1473490, 117164, 41121, 20318, 官渡, 未分組
劍仔十八世, 56, 17576585, 33343, 0, 0, 593975112, 1465439, 72863, 41636, 36290, 官渡, 官渡右
SK, 57, 22203751, 0, 0, 0, 613763631, 1435171, 102863, 85012, 26432, 官渡, 官渡右
海賊丨數字君, 62, 2056597, 32567, 1050, 0, 225930083, 1429392, 76115, 149780, 21443, 官渡, 官渡右
