成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
批歪丨培根, 23, 23460886, 5914, 6121, 125025, 68241463, 5914, 15557, 125025, 20676, 河東, 血流
燕丨家榮志豪, 64, 22540030, 5619, 4843, 160835, 44425478, 15515, 8720, 160835, 15776, 司隸, 文青茶棧
歐冶亭, 87, 21887313, 2932, 6918, 0, 40880059, 2932, 14854, 0, 16982, 河東, 血流
诸葛靖, 74, 20763721, 0, 5295, 133042, 53058666, 2439, 13655, 133042, 24333, 河東, 未分組
迷彩, 106, 20640543, 0, 7622, 41381, 37112391, 0, 13027, 144361, 18559, 河東, 血流
雲來俠客, 5, 20616235, 960, 6679, 0, 44831193, 973, 15835, 0, 18961, 司隸, 未分組
出木杉同學, 147, 20341317, 0, 3079, 124559, 49772345, 0, 5319, 124559, 20953, 河東, 未分組
一條根王, 89, 19979445, 0, 5736, 126981, 41904664, 0, 15426, 126981, 17614, 河東, 未分組
山窮水盡, 7, 19456543, 5486, 10673, 154500, 50615979, 5486, 24030, 154500, 21263, 司隸, 未分組
海贼丨霸王, 6, 19343262, 5740, 8144, 0, 53796322, 8534, 22604, 0, 17813, 司隸, 天機海賊
樂正小谷, 69, 19339046, 5116, 8555, 131560, 48824775, 5116, 16091, 131560, 19476, 司隸, 未分組
龍匀, 32, 19113882, 0, 7189, 0, 52170042, 0, 17295, 0, 22456, 司隸, 未分組
無双丨王騎, 12, 19088518, 8996, 7169, 111216, 45928468, 14298, 18010, 111216, 18073, 司隸, 文青茶棧
西八丨兔兔, 27, 18549273, 790, 8768, 172859, 47619910, 997, 19932, 172859, 23366, 司隸, 西八屁屁
董豆豆, 33, 18365671, 7687, 5974, 135757, 36746935, 7687, 10894, 135757, 16940, 司隸, 天機海賊
薪水不夠多, 97, 18003622, 0, 8488, 123378, 28698981, 0, 16901, 123378, 14189, 河東, 天機海賊
Foden, 17, 17974060, 5053, 6166, 0, 44444159, 5053, 17265, 0, 21719, 司隸, 文青茶棧
呆腦獸, 98, 17954741, 0, 3830, 121354, 40535478, 1588, 14668, 121354, 19752, 河東, 血流
Wei, 146, 17835968, 0, 2119, 124743, 30055893, 0, 5798, 124743, 16560, 河東, 未分組
魃丨讓妳漲潮, 129, 17704011, 0, 5146, 0, 34385718, 0, 9066, 0, 16626, 河東, 文青茶棧
RR, 105, 17632396, 0, 7744, 132848, 32637888, 0, 17924, 132848, 17330, 河東, 未分組
風雨雙修, 50, 17176029, 0, 10383, 161467, 32968184, 165, 21165, 161467, 16856, 司隸, 文青茶棧
丨九紋龍丨, 93, 16932700, 2, 6975, 120692, 45649715, 1768, 14708, 181969, 17891, 河東, 未分組
仇恨天, 11, 16057387, 770, 10427, 122707, 38108045, 770, 20021, 122707, 16970, 司隸, 天機海賊
夜讀出師表, 83, 16018910, 0, 7759, 122668, 34815653, 0, 18720, 122668, 17554, 河東, 西八屁屁
宣颜, 42, 15835617, 1665, 8978, 0, 55770123, 1665, 21340, 0, 20313, 司隸, 未分組
聚丨程堯, 20, 15620647, 4428, 5564, 162202, 34282988, 4744, 16797, 162202, 18483, 司隸, 血流
無双丨諦聽, 16, 15375755, 1677, 8373, 0, 42317634, 1678, 21274, 81177, 22586, 司隸, 未分組
魅力十足, 140, 15244237, 1702, 1400, 0, 41407011, 1702, 7874, 0, 17530, 河東, 未分組
身輕如燕, 30, 15240793, 0, 5624, 193458, 39800959, 2474, 14869, 193458, 17705, 司隸, 血流
Nok, 77, 15123700, 0, 3286, 180258, 33569328, 1643, 15167, 180258, 19343, 河東, 血流
劍仔十八世, 36, 14773246, 2424, 7373, 131987, 53294330, 2424, 18195, 131987, 23860, 司隸, 未分組
