成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
弒離, 131, 0, 0, 0, 0, 18215768, 11171, 20681, 531636, 17983, 司隸, 血流
西八丨風鈴草, 171, 0, 0, 0, 0, 1626309, 0, 2679, 0, 2100, 河北, 西八屁屁
皇丨源澤, 68, 0, 0, 0, 0, 43203372, 52587, 42896, 559642, 20653, 司隸, 西八屁屁
天機丨天相, 119, 0, 0, 0, 0, 24564133, 7039, 24713, 962013, 15103, 河東, 天機海賊
劍丨莫問, 31, 0, 0, 0, 0, 77290490, 49476, 19147, 539154, 22663, 司隸, 文青茶棧
海贼丨红豆, 90, 0, 0, 0, 0, 39161448, 15006, 19988, 0, 12580, 司隸, 天機海賊
雪月囧, 61, 0, 0, 0, 0, 26451873, 20788, 32482, 180978, 16150, 河東, 文青茶棧
西八丨茗雪, 21, 0, 0, 0, 0, 44969318, 67679, 38678, 445968, 24210, 司隸, 西八屁屁
姚擎蒼, 176, 0, 0, 0, 0, 3284097, 1356, 1700, 1133387, 9243, 河東, 血流
西八丨芙莉蓮, 93, 0, 0, 0, 0, 54753255, 42791, 14934, 507948, 25650, 河東, 西八屁屁
黑馬丨聖, 155, 0, 0, 0, 0, 13428184, 111, 13667, 258346, 11916, 河東, 天機海賊
怜怜兒, 170, 0, 0, 0, 0, 1202432, 0, 0, 0, 3674, 河北, 天機海賊
書童, 136, 0, 0, 0, 0, 34698426, 2966, 15008, 1420296, 19600, 司隸, 西八屁屁
天機丨貪狼, 143, 0, 0, 0, 0, 24459507, 3620, 11335, 632553, 12599, 河東, 天機海賊
魔彈射手, 70, 0, 0, 0, 0, 35788288, 14715, 33804, 669274, 22635, 司隸, 西八屁屁
柳逸天下, 177, 0, 0, 0, 0, 184005, 0, 0, 0, 1880, 河北, 文青茶棧
